,Genome Name,species,antibiotic,resistance
10387,Klebsiella pneumoniae strain MRSN4815,Klebsiella pneumoniae,imipenem,Susceptible
10388,Shigella sonnei strain 177418,Shigella sonnei,temocillin,Susceptible
10389,Staphylococcus aureus strain BP20,Staphylococcus aureus,penicillin,Resistant
10390,Shigella sonnei strain 203679,Shigella sonnei,sulfonamides,Resistant
10391,Staphylococcus aureus strain 27180_155F71,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
10392,Shigella sonnei strain 183660,Shigella sonnei,cefoxitin,Resistant
10393,Klebsiella pneumoniae strain KZN_INI_KINF_85,Klebsiella pneumoniae,fosfomycin,Resistant
10395,Klebsiella pneumoniae strain MRSN731029,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,Susceptible
10396,Shigella sonnei strain 174675,Shigella sonnei,tetracycline,Resistant
10398,Staphylococcus aureus strain 0927,Staphylococcus aureus,ciprofloxacin,Susceptible
10399,Shigella sonnei strain 158934,Shigella sonnei,cefpirome,Resistant
10400,Klebsiella pneumoniae strain MRSN5881,Klebsiella pneumoniae,amikacin,Resistant
10401,Klebsiella pneumoniae strain MRSN526410,Klebsiella pneumoniae,piperacillin-tazobactam,Resistant
10402,Klebsiella pneumoniae strain MRSN511348,Klebsiella pneumoniae,tetracycline,Resistant
10403,Klebsiella pneumoniae strain MRSN750877,Klebsiella pneumoniae,levofloxacin,Susceptible
10404,Klebsiella pneumoniae strain MRSN16008,Klebsiella pneumoniae,ciprofloxacin,Susceptible
10406,Klebsiella pneumoniae strain MRSN4759,Klebsiella pneumoniae,ceftazidime,Resistant
10407,Klebsiella pneumoniae strain 289,Klebsiella pneumoniae,amikacin,Susceptible
10408,Shigella sonnei strain 180537,Shigella sonnei,ampicillin,Susceptible
10409,Klebsiella pneumoniae strain MRSN681054,Klebsiella pneumoniae,ampicillin-sulbactam,Resistant
10410,Klebsiella pneumoniae strain MRSN1912,Klebsiella pneumoniae,piperacillin-tazobactam,Susceptible
10413,Shigella sonnei strain 166988,Shigella sonnei,amikacin,Resistant
10414,Klebsiella pneumoniae strain Kp5168,Klebsiella pneumoniae,levofloxacin,Resistant
10415,Klebsiella pneumoniae strain P30-67,Klebsiella pneumoniae,tetracycline,Resistant
10416,Klebsiella pneumoniae strain MRSN28866,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,Susceptible
10417,Shigella sonnei strain 174706,Shigella sonnei,cefotaxime,Susceptible
10418,Mycobacterium tuberculosis strain OMICS/BPL/0052/19/SP,Mycobacterium tuberculosis,kanamycin,Susceptible
10419,Shigella sonnei strain 185886,Shigella sonnei,ciprofloxacin,Susceptible
10420,Shigella sonnei strain 190572,Shigella sonnei,trimethoprim,Resistant
10421,Klebsiella pneumoniae strain SCAID PHRX1-2021 (13/97) strain SCAID PHRX1-2021 (13/97) strain SCAID PHRX1-2021 (13/97),Klebsiella pneumoniae,erythromycin,Resistant
10422,Shigella sonnei strain 183741,Shigella sonnei,ampicillin,Susceptible
10423,Klebsiella pneumoniae strain MRSN4759,Klebsiella pneumoniae,tobramycin,Susceptible
10424,Klebsiella pneumoniae strain K6453,Klebsiella pneumoniae,cefoxitin,Resistant
10425,Shigella sonnei strain 150955,Shigella sonnei,ertapenem,Susceptible
10426,Klebsiella pneumoniae strain 260,Klebsiella pneumoniae,tobramycin,Susceptible
10427,Klebsiella pneumoniae strain MRSN375436,Klebsiella pneumoniae,piperacillin_tazobactam,Resistant
10428,Klebsiella pneumoniae strain WHC151,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Resistant
10429,Shigella sonnei strain 191942,Shigella sonnei,tetracycline,Susceptible
10430,Klebsiella pneumoniae subsp. pneumoniae strain NCTC7761,Klebsiella pneumoniae,amikacin,Susceptible
10431,Shigella sonnei strain 185433,Shigella sonnei,cefpirome,Susceptible
10433,Staphylococcus aureus strain 32800326,Staphylococcus aureus,erythromycin,Susceptible
10434,Klebsiella pneumoniae strain MRSN410359,Klebsiella pneumoniae,cefazolin,Resistant
10435,Staphylococcus aureus strain 21/11-F1 LY,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
10436,Streptococcus pneumoniae strain S534,Streptococcus pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
10437,Shigella sonnei strain 170362,Shigella sonnei,ertapenem,Susceptible
10438,Shigella sonnei strain 203679,Shigella sonnei,ampicillin,Resistant
10439,Klebsiella pneumoniae strain MRSN28887,Klebsiella pneumoniae,cefotetan,Susceptible
10440,Shigella sonnei strain 196416,Shigella sonnei,sulfonamides,Resistant
10441,Klebsiella pneumoniae strain Q0896,Klebsiella pneumoniae,amikacin,Susceptible
10442,Staphylococcus aureus strain 31210331,Staphylococcus aureus,clindamycin,Susceptible
10443,Shigella sonnei strain 178631,Shigella sonnei,azithromycin,Susceptible
10444,Staphylococcus aureus strain 27208_175TM674,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
10445,Shigella sonnei strain 164681,Shigella sonnei,sulfonamides,Resistant
10446,Pseudomonas aeruginosa strain AUS460,Pseudomonas aeruginosa,levofloxacin,Resistant
10447,Klebsiella pneumoniae strain KZN_INI_KINF_102,Klebsiella pneumoniae,piperacillin/tazobactam,Susceptible
10448,Klebsiella pneumoniae strain Q0896,Klebsiella pneumoniae,trimethoprim/sulfamethoxazole,Susceptible
10449,Klebsiella pneumoniae strain KE4389,Klebsiella pneumoniae,cefoxitin,Susceptible
10450,Shigella sonnei strain 197084,Shigella sonnei,ciprofloxacin,Resistant
10451,Klebsiella pneumoniae strain 2019_OU_BfR0018,Klebsiella pneumoniae,cefoxitin,Susceptible
10452,Staphylococcus aureus strain 27194_175F303,Staphylococcus aureus,penicillin,Susceptible
10454,Shigella sonnei strain 187478,Shigella sonnei,streptomycin,Resistant
10455,Klebsiella pneumoniae strain 11-2499 strain not applicable,Klebsiella pneumoniae,tobramycin,Susceptible
10456,Klebsiella pneumoniae strain MRSN681054,Klebsiella pneumoniae,moxifloxacin,Resistant
10457,Shigella sonnei strain 190573,Shigella sonnei,nalidixic acid,Susceptible
10458,Klebsiella pneumoniae strain MRSN699654,Klebsiella pneumoniae,cefoxitin,Susceptible
10459,Shigella sonnei strain 195774,Shigella sonnei,tobramycin,Resistant
10460,Staphylococcus aureus strain 23538_5_3_M3012_2,Staphylococcus aureus,methicillin,Susceptible
10461,Klebsiella pneumoniae strain M-5,Klebsiella pneumoniae,gentamicin,Resistant
10463,Shigella sonnei strain 203686,Shigella sonnei,temocillin,Resistant
10464,Klebsiella pneumoniae strain K54_1,Klebsiella pneumoniae,tetracycline,Resistant
10465,Klebsiella pneumoniae strain KZN_INI_KINF_22,Klebsiella pneumoniae,aztreonam,Resistant
10466,Staphylococcus aureus strain 30108394,Staphylococcus aureus,clindamycin,Susceptible
10467,Staphylococcus aureus strain 27189_155F174,Staphylococcus aureus,ciprofloxacin,Susceptible
10469,Shigella sonnei strain 179821,Shigella sonnei,chloramphenicol,Susceptible
10470,Klebsiella pneumoniae strain MRSN15882,Klebsiella pneumoniae,tobramycin,Resistant
10471,Klebsiella pneumoniae strain KZN_INI_KINF_24,Klebsiella pneumoniae,aztreonam,Susceptible
10472,Klebsiella pneumoniae strain MK-07,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Resistant
10474,Klebsiella pneumoniae strain MRSN669448,Klebsiella pneumoniae,ceftriaxone,Resistant
10475,Staphylococcus aureus strain UMCG578,Staphylococcus aureus,ciprofloxacin,Susceptible
10476,Shigella sonnei strain 149263,Shigella sonnei,streptomycin,Resistant
10477,Shigella sonnei strain 202275,Shigella sonnei,cefoxitin,Susceptible
10478,Klebsiella pneumoniae strain MRSN517281,Klebsiella pneumoniae,tetracycline,Susceptible
10479,Klebsiella pneumoniae strain MRSN27778,Klebsiella pneumoniae,aztreonam,Resistant
10480,Klebsiella pneumoniae strain MRSN365679,Klebsiella pneumoniae,ciprofloxacin,Resistant
10481,Klebsiella pneumoniae strain MRSN702261,Klebsiella pneumoniae,amikacin,Susceptible
10482,Klebsiella pneumoniae strain MRSN515247,Klebsiella pneumoniae,cefotetan,Resistant
10483,Shigella sonnei strain 209682,Shigella sonnei,sulfonamides,Resistant
10484,Shigella sonnei strain 199812,Shigella sonnei,cefoxitin,Susceptible
10485,Shigella sonnei strain 158946,Shigella sonnei,temocillin,Resistant
10487,Shigella sonnei strain 171144,Shigella sonnei,ceftazidime,Susceptible
10488,Shigella sonnei strain 180536,Shigella sonnei,gentamicin,Resistant
10489,Shigella sonnei strain 172465,Shigella sonnei,sulfonamides,Resistant
10490,Streptococcus pneumoniae strain pnumococcus19F,Streptococcus pneumoniae,chloramphenicol,Resistant
10491,Shigella sonnei strain 193330,Shigella sonnei,amikacin,Resistant
10492,Shigella sonnei strain 152347,Shigella sonnei,gentamicin,Resistant
10493,Pseudomonas aeruginosa strain AUS232,Pseudomonas aeruginosa,levofloxacin,Susceptible
10494,Shigella sonnei strain 229,Shigella sonnei,ampicillin,Susceptible
10495,Escherichia coli strain SCAID WND1-2021 (1/128) strain SCAID WND1-2021 (1/128) strain SCAID WND1-2021 (1/128),Escherichia coli,amoxicillin,Resistant
10496,Shigella sonnei strain 154830,Shigella sonnei,tetracycline,Resistant
10497,Shigella sonnei strain 198257,Shigella sonnei,chloramphenicol,Susceptible
10498,Staphylococcus aureus strain NW LYH,Staphylococcus aureus,methicillin,Susceptible
10499,Shigella sonnei strain 166345,Shigella sonnei,cefotaxime,Resistant
10500,Staphylococcus aureus strain 60563-9-2,Staphylococcus aureus,clindamycin,Susceptible
10501,Shigella sonnei strain 201501,Shigella sonnei,trimethoprim,Resistant
10502,Klebsiella pneumoniae strain MRSN517281,Klebsiella pneumoniae,ceftazidime-avibactam,Resistant
10503,Klebsiella pneumoniae strain PN100,Klebsiella pneumoniae,cefepime,Resistant
10504,Pseudomonas aeruginosa strain ZYPA46 strain not collected,Pseudomonas aeruginosa,levofloxacin,Resistant
10505,Shigella sonnei strain 20081885_1361371,Shigella sonnei,sulfonamides,Resistant
10506,Mycobacterium tuberculosis variant bovis strain 1,Mycobacterium tuberculosis,ethambutol,Susceptible
10508,Shigella sonnei strain 168324,Shigella sonnei,sulfonamides,Resistant
10509,Shigella sonnei strain 195745,Shigella sonnei,sulfonamides,Resistant
10510,Klebsiella pneumoniae strain MRSN669510,Klebsiella pneumoniae,meropenem,Resistant
10511,Klebsiella pneumoniae strain SAKP01,Klebsiella pneumoniae,ciprofloxacin,Susceptible
10512,Klebsiella pneumoniae strain M911-1,Klebsiella pneumoniae,cefepime,Susceptible
10513,Shigella sonnei strain 175609,Shigella sonnei,amikacin,Resistant
10514,Klebsiella pneumoniae strain KZN_INI_KINF_29,Klebsiella pneumoniae,tetracycline,Resistant
10515,Staphylococcus aureus strain 31100823,Staphylococcus aureus,tetracycline,Susceptible
10516,Klebsiella pneumoniae strain MRSN731029,Klebsiella pneumoniae,ceftolozane-tazobactam,Susceptible
10517,Klebsiella pneumoniae strain P30-67,Klebsiella pneumoniae,amikacin,Susceptible
10518,Staphylococcus aureus strain 27196_175F314,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
10519,Staphylococcus aureus strain ncr_155_F133,Staphylococcus aureus,gentamicin,Susceptible
10520,Shigella sonnei strain 205584,Shigella sonnei,cefotaxime,Susceptible
10521,Shigella sonnei strain 178625,Shigella sonnei,tetracycline,Susceptible
10523,Staphylococcus aureus strain 99634_25,Staphylococcus aureus,trimethoprim_sulfamethoxazole,Susceptible
10524,Escherichia coli strain SCAID URN1-2021 (19/278) strain SCAID URN1-2021 (19/278) strain SCAID URN1-2021 (19/278),Escherichia coli,meropenem,Susceptible
10525,Staphylococcus aureus strain SP82a,Staphylococcus aureus,penicillin,Susceptible
10526,Klebsiella pneumoniae strain KP_NORM_BLD_2015_115359,Klebsiella pneumoniae,gentamicin,Susceptible
10527,Shigella sonnei strain 20051541_1361374,Shigella sonnei,nalidixic acid,Susceptible
10529,Streptococcus pneumoniae strain pnumococcus18B,Streptococcus pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
10530,Staphylococcus aureus strain 31210331,Staphylococcus aureus,tetracycline,Susceptible
10531,Klebsiella pneumoniae strain PN77,Klebsiella pneumoniae,trimethoprim/sulfamethoxazole,Susceptible
10532,Klebsiella pneumoniae strain MRSN511348,Klebsiella pneumoniae,cephalothin,Resistant
10533,Mycobacterium tuberculosis strain OMICS/BPL/0109/20/SP,Mycobacterium tuberculosis,streptomycin,Resistant
10534,Shigella sonnei strain 151037,Shigella sonnei,ceftazidime,Resistant
10536,Klebsiella pneumoniae strain F726925,Klebsiella pneumoniae,ciprofloxacin,Resistant
10537,Shigella sonnei strain 195775,Shigella sonnei,tetracycline,Resistant
10540,Shigella sonnei strain 196411,Shigella sonnei,sulfonamides,Resistant
10541,Shigella sonnei strain 195821,Shigella sonnei,ceftazidime,Susceptible
10542,Shigella sonnei strain 189257,Shigella sonnei,sulfonamides,Resistant
10543,Shigella sonnei strain 153152,Shigella sonnei,cefpirome,Susceptible
10544,Staphylococcus aureus strain 63-083,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
10545,Shigella sonnei strain 174706,Shigella sonnei,ertapenem,Susceptible
10546,Streptococcus pneumoniae strain FDAARGOS_1508 strain Not applicable,Streptococcus pneumoniae,erythromycin,Susceptible
10547,Shigella sonnei strain 153152,Shigella sonnei,chloramphenicol,Susceptible
10548,Shigella sonnei strain 173529,Shigella sonnei,trimethoprim,Resistant
10549,Klebsiella pneumoniae strain MRSN583114,Klebsiella pneumoniae,levofloxacin,Susceptible
10550,Klebsiella pneumoniae strain MRSN599975,Klebsiella pneumoniae,cefotetan,Susceptible
10551,Klebsiella pneumoniae strain TA6363,Klebsiella pneumoniae,trimethoprim/sulfamethoxazole,Resistant
10552,Shigella sonnei strain 170362,Shigella sonnei,streptomycin,Resistant
10553,Shigella sonnei strain 166992,Shigella sonnei,trimethoprim,Resistant
10554,Shigella sonnei strain 182072,Shigella sonnei,ampicillin,Resistant
10555,Klebsiella pneumoniae strain MRSN676980,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
10557,Shigella sonnei strain 164674,Shigella sonnei,trimethoprim,Resistant
10558,Klebsiella pneumoniae strain DSM 30104 strain RIT 418,Klebsiella pneumoniae,tobramycin,Susceptible
10559,Klebsiella pneumoniae strain MRSN1912,Klebsiella pneumoniae,imipenem,Susceptible
10560,Klebsiella pneumoniae strain PN84,Klebsiella pneumoniae,aztreonam,Susceptible
10561,Klebsiella pneumoniae strain KE2658,Klebsiella pneumoniae,gentamicin,Susceptible
10562,Shigella sonnei strain 20060018_1361370,Shigella sonnei,tetracycline,Resistant
10563,Shigella sonnei strain 164681,Shigella sonnei,azithromycin,Susceptible
10564,Shigella sonnei strain 155684,Shigella sonnei,tetracycline,Resistant
10565,Klebsiella pneumoniae strain MRSN564304,Klebsiella pneumoniae,tetracycline,Resistant
10566,Staphylococcus aureus strain ncr_155_F133,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
10567,Klebsiella pneumoniae strain KE4439,Klebsiella pneumoniae,cefepime,Resistant
10568,Shigella sonnei strain 164659,Shigella sonnei,cefotaxime,Susceptible
10569,Klebsiella pneumoniae strain MRSN736213,Klebsiella pneumoniae,ciprofloxacin,Susceptible
10570,Klebsiella pneumoniae strain MRSN730567,Klebsiella pneumoniae,piperacillin-tazobactam,Susceptible
10571,Shigella sonnei strain 183639,Shigella sonnei,cefoxitin,Susceptible
10572,Shigella sonnei strain 180536,Shigella sonnei,cefoxitin,Susceptible
10573,Shigella sonnei strain 186559,Shigella sonnei,streptomycin,Resistant
10574,Staphylococcus aureus strain 71532_cf2,Staphylococcus aureus,tetracycline,Susceptible
10575,Shigella sonnei strain 186560,Shigella sonnei,ampicillin,Susceptible
10576,Shigella sonnei strain 171146,Shigella sonnei,cefpirome,Resistant
10577,Staphylococcus aureus strain 18/1-12 BHC,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
10579,Shigella sonnei strain 204003,Shigella sonnei,trimethoprim,Resistant
10580,Klebsiella pneumoniae strain MRSN702325,Klebsiella pneumoniae,ampicillin,Resistant
10581,Klebsiella pneumoniae strain KP294,Klebsiella pneumoniae,ciprofloxacin,Susceptible
10582,Shigella sonnei strain 164659,Shigella sonnei,gentamicin,Resistant
10583,Mycobacterium tuberculosis strain OMICS/BPL/0046/19/SP,Mycobacterium tuberculosis,streptomycin,Resistant
10584,Shigella sonnei strain 161920,Shigella sonnei,temocillin,Susceptible
10585,Shigella sonnei strain 170444,Shigella sonnei,streptomycin,Resistant
10586,Mycobacterium tuberculosis strain OMICS/BPL/0054/19/SP,Mycobacterium tuberculosis,ofloxacin,Susceptible
10587,Klebsiella pneumoniae strain CVUAS 11463,Klebsiella pneumoniae,ciprofloxacin,Susceptible
10588,Klebsiella pneumoniae strain MRSN380979,Klebsiella pneumoniae,piperacillin-tazobactam,Susceptible
10590,Shigella sonnei strain 199832,Shigella sonnei,temocillin,Resistant
10591,Klebsiella pneumoniae strain CVUAS 11463,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
10592,Shigella sonnei strain 205583,Shigella sonnei,sulfonamides,Resistant
10593,Shigella sonnei strain 155596,Shigella sonnei,trimethoprim,Resistant
10594,Acinetobacter baumannii strain 10_3,Acinetobacter baumannii,carbapenem,Susceptible
10595,Shigella sonnei strain 164675,Shigella sonnei,gentamicin,Resistant
10596,Escherichia coli strain SCAID WND2-2021 (3/145) strain SCAID WND2-2021 (3/145) strain SCAID WND2-2021 (3/145),Escherichia coli,oxacillin,Resistant
10597,Klebsiella pneumoniae strain 3125,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Resistant
10598,Shigella sonnei strain 205582,Shigella sonnei,tobramycin,Resistant
10599,Shigella sonnei strain 181988,Shigella sonnei,amikacin,Resistant
10600,Shigella sonnei strain 206717,Shigella sonnei,trimethoprim,Resistant
10601,Klebsiella pneumoniae strain MRSN672476,Klebsiella pneumoniae,tetracycline,Resistant
10602,Shigella sonnei strain 186595,Shigella sonnei,streptomycin,Resistant
10603,Pseudomonas aeruginosa strain SCAID WND1-2021 (9/195) strain SCAID WND1-2021 (9/195) strain SCAID WND1-2021 (9/195),Pseudomonas aeruginosa,erythromycin,Resistant
10604,Shigella sonnei strain 182175,Shigella sonnei,chloramphenicol,Susceptible
10605,Escherichia coli strain SCAID WND1-2021 (1/128) strain SCAID WND1-2021 (1/128) strain SCAID WND1-2021 (1/128),Escherichia coli,meropenem,Susceptible
10606,Staphylococcus aureus strain 21/11-F1 LY,Staphylococcus aureus,methicillin,Susceptible
10609,Shigella sonnei strain 194199,Shigella sonnei,ampicillin,Susceptible
10611,Staphylococcus aureus strain NW LYH,Staphylococcus aureus,tetracycline,Susceptible
10612,Klebsiella pneumoniae strain MRSN1912,Klebsiella pneumoniae,ampicillin,Resistant
10614,Shigella sonnei strain 149257,Shigella sonnei,gentamicin,Resistant
10615,Shigella sonnei strain 173522,Shigella sonnei,ciprofloxacin,Susceptible
10617,Shigella sonnei strain 182072,Shigella sonnei,amikacin,Resistant
10618,Klebsiella pneumoniae strain M-5,Klebsiella pneumoniae,ertapenem,Susceptible
10619,Klebsiella pneumoniae strain MRSN16233,Klebsiella pneumoniae,ampicillin,Resistant
10621,Klebsiella pneumoniae strain M-4,Klebsiella pneumoniae,gentamicin,Susceptible
10622,Klebsiella pneumoniae strain MRSN15937,Klebsiella pneumoniae,meropenem,Susceptible
10623,Klebsiella pneumoniae strain MRSN702325,Klebsiella pneumoniae,ceftazidime-avibactam,Susceptible
10624,Staphylococcus aureus strain ncr_155_F133,Staphylococcus aureus,methicillin,Susceptible
10627,Shigella sonnei strain 190613,Shigella sonnei,chloramphenicol,Susceptible
10628,Pseudomonas aeruginosa strain AUS229,Pseudomonas aeruginosa,levofloxacin,Susceptible
10629,Shigella sonnei strain 172465,Shigella sonnei,gentamicin,Resistant
10630,Shigella sonnei strain 166345,Shigella sonnei,chloramphenicol,Susceptible
10631,Staphylococcus aureus strain 71532_cf8,Staphylococcus aureus,methicillin,Susceptible
10632,Klebsiella pneumoniae strain K49_1,Klebsiella pneumoniae,cefepime,Susceptible
10633,Klebsiella pneumoniae strain K53,Klebsiella pneumoniae,gentamicin,Resistant
10634,Escherichia coli 290,Escherichia coli,azithromycin,Susceptible
10635,Klebsiella pneumoniae strain MRSN21304,Klebsiella pneumoniae,levofloxacin,Susceptible
10636,Streptococcus pneumoniae strain S849,Streptococcus pneumoniae,erythromycin,Resistant
10637,Klebsiella pneumoniae strain WHC160,Klebsiella pneumoniae,tetracycline,Resistant
10638,Klebsiella pneumoniae strain KZN_INI_KINF_102,Klebsiella pneumoniae,ampicillin,Resistant
10639,Shigella sonnei strain 193413,Shigella sonnei,tetracycline,Resistant
10640,Shigella sonnei strain 178628,Shigella sonnei,tobramycin,Resistant
10641,Klebsiella pneumoniae strain MRSN672476,Klebsiella pneumoniae,ceftazidime,Susceptible
10642,Klebsiella pneumoniae strain MRSN7076,Klebsiella pneumoniae,cefepime,Resistant
10643,Klebsiella pneumoniae strain KZN_INI_KINF_102,Klebsiella pneumoniae,cefepime,Susceptible
10644,Shigella sonnei strain 170442,Shigella sonnei,ertapenem,Susceptible
10645,Staphylococcus aureus strain SCAID WND1-2021 (598) strain SCAID WND1-2021 (598) strain SCAID WND1-2021 (598),Staphylococcus aureus,imipenem,Susceptible
10646,Shigella sonnei strain 154830,Shigella sonnei,ciprofloxacin,Resistant
10647,Klebsiella pneumoniae strain preta,Klebsiella pneumoniae,levofloxacin,Resistant
10648,Shigella sonnei strain 195832,Shigella sonnei,amikacin,Resistant
10649,Klebsiella pneumoniae strain KP-14-2-131,Klebsiella pneumoniae,meropenem,Susceptible
10650,Staphylococcus aureus strain 27200_175F351,Staphylococcus aureus,ciprofloxacin,Susceptible
10651,Klebsiella pneumoniae strain MRSN375436,Klebsiella pneumoniae,aztreonam,Susceptible
10652,Klebsiella pneumoniae strain MRSN25112,Klebsiella pneumoniae,cefpodoxime,Susceptible
10655,Staphylococcus aureus strain 18/1-F BHC,Staphylococcus aureus,clindamycin,Susceptible
10656,Klebsiella pneumoniae strain Q0892,Klebsiella pneumoniae,cefepime,Resistant
10657,Shigella sonnei strain 209721,Shigella sonnei,ertapenem,Susceptible
10658,Klebsiella pneumoniae strain MRSN607210,Klebsiella pneumoniae,gentamicin,Susceptible
10659,Klebsiella pneumoniae strain S90-2,Klebsiella pneumoniae,ertapenem,Susceptible
10660,Shigella sonnei strain 180536,Shigella sonnei,azithromycin,Susceptible
10661,Shigella sonnei strain 208954,Shigella sonnei,cefpirome,Resistant
10662,Shigella sonnei strain 153154,Shigella sonnei,ampicillin,Susceptible
10663,Klebsiella pneumoniae strain P30-66,Klebsiella pneumoniae,ciprofloxacin,Resistant
10664,Klebsiella pneumoniae strain Q1460,Klebsiella pneumoniae,piperacillin/tazobactam,Susceptible
10665,Shigella sonnei strain 178632,Shigella sonnei,streptomycin,Susceptible
10666,Shigella sonnei strain 168321,Shigella sonnei,tobramycin,Susceptible
10667,Staphylococcus aureus strain 51-045,Staphylococcus aureus,penicillin,Resistant
10668,Staphylococcus aureus strain 18/1-D BHC,Staphylococcus aureus,clindamycin,Susceptible
10669,Klebsiella pneumoniae strain C14_15_09Ph,Klebsiella pneumoniae,aztreonam,Susceptible
10670,Klebsiella pneumoniae strain HGKP01,Klebsiella pneumoniae,cefoxitin,Susceptible
10671,Staphylococcus aureus strain GHA/LAMRSA/2016/8,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
10673,Klebsiella pneumoniae strain MRSN28866,Klebsiella pneumoniae,moxifloxacin,Resistant
10674,Staphylococcus aureus strain SP88a,Staphylococcus aureus,gentamicin,Susceptible
10675,Klebsiella pneumoniae strain BCKP01,Klebsiella pneumoniae,amikacin,Susceptible
10676,Klebsiella pneumoniae strain SAKP01,Klebsiella pneumoniae,aztreonam,Susceptible
10678,Shigella sonnei strain 187590,Shigella sonnei,gentamicin,Resistant
10679,Klebsiella pneumoniae strain MRSN582610,Klebsiella pneumoniae,cefotetan,Susceptible
10680,Klebsiella pneumoniae strain MRSN27106,Klebsiella pneumoniae,cefoxitin,Susceptible
10681,Klebsiella pneumoniae strain MRSN599975,Klebsiella pneumoniae,moxifloxacin,Susceptible
10682,Staphylococcus aureus strain 23/2-9 YBH,Staphylococcus aureus,gentamicin,Susceptible
10683,Staphylococcus aureus strain MAG-1F-S4P,Staphylococcus aureus,ciprofloxacin,Susceptible
10684,Shigella sonnei strain 175548,Shigella sonnei,ceftazidime,Susceptible
10686,Shigella sonnei strain 198256,Shigella sonnei,ciprofloxacin,Susceptible
10687,Klebsiella pneumoniae strain KZN_INI_KINF_28,Klebsiella pneumoniae,piperacillin/tazobactam,Susceptible
10688,Shigella sonnei strain 182069,Shigella sonnei,cefoxitin,Susceptible
10690,Klebsiella pneumoniae strain MRSN516635,Klebsiella pneumoniae,tobramycin,Resistant
10691,Mycobacterium tuberculosis strain OMICS/BPL/0022/19/SP,Mycobacterium tuberculosis,kanamycin,Susceptible
10692,Klebsiella pneumoniae strain CVUAS 11252,Klebsiella pneumoniae,ciprofloxacin,Susceptible
10693,Klebsiella pneumoniae strain MRSN736213,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
10694,Klebsiella pneumoniae strain MRSN13761,Klebsiella pneumoniae,moxifloxacin,Susceptible
10695,Shigella sonnei strain 208953,Shigella sonnei,ampicillin,Resistant
10697,Shigella sonnei strain 161046,Shigella sonnei,cefpirome,Susceptible
10698,Klebsiella pneumoniae strain MRSN19073,Klebsiella pneumoniae,tetracycline,Resistant
10699,Klebsiella pneumoniae strain MRSN572640,Klebsiella pneumoniae,cefpodoxime,Susceptible
10700,Shigella sonnei strain 175550,Shigella sonnei,cefotaxime,Resistant
10701,Shigella sonnei strain 164815,Shigella sonnei,gentamicin,Resistant
10702,Staphylococcus aureus strain 27180_155F71,Staphylococcus aureus,clindamycin,Susceptible
10704,Klebsiella pneumoniae strain MRSN583114,Klebsiella pneumoniae,cefazolin,Resistant
10705,Shigella sonnei strain 193378,Shigella sonnei,nalidixic acid,Susceptible
10706,Staphylococcus aureus strain NAS_NP_123,Staphylococcus aureus,methicillin,Resistant
10707,Klebsiella pneumoniae strain MRSN591344,Klebsiella pneumoniae,tetracycline,Susceptible
10708,Shigella sonnei strain 154832,Shigella sonnei,ertapenem,Susceptible
10709,Shigella sonnei strain 209957,Shigella sonnei,ampicillin,Susceptible
10710,Klebsiella pneumoniae strain MRSN669510,Klebsiella pneumoniae,cefazolin,Resistant
10711,Klebsiella pneumoniae strain KP18-2050,Klebsiella pneumoniae,amikacin,Susceptible
10713,Klebsiella pneumoniae strain MRSN13748,Klebsiella pneumoniae,cefepime,Resistant
10714,Shigella sonnei strain 188347,Shigella sonnei,azithromycin,Susceptible
10715,Shigella sonnei strain 211124,Shigella sonnei,azithromycin,Susceptible
10717,Shigella sonnei strain 201505,Shigella sonnei,azithromycin,Susceptible
10718,Staphylococcus aureus strain SA1,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
10719,Shigella sonnei strain 155588,Shigella sonnei,ciprofloxacin,Susceptible
10721,Streptococcus pneumoniae strain FDAARGOS_1508 strain Not applicable,Streptococcus pneumoniae,trimethoprim_sulfamethoxazole,Resistant
10722,Klebsiella pneumoniae strain CVUAS 11316.2,Klebsiella pneumoniae,aztreonam,Susceptible
10723,Klebsiella pneumoniae strain PN97,Klebsiella pneumoniae,cefepime,Resistant
10724,Shigella sonnei strain 181108,Shigella sonnei,ceftazidime,Susceptible
10725,Shigella sonnei strain 178628,Shigella sonnei,sulfonamides,Resistant
